"Population résidante permanente et non permanente selon les niveaux géographiques institutionnels, le sexe, la nationalité et l'âge"

"Année"	"Canton (-) / District (>>) / Commune (......)"	"Type de population"	"Sexe"	"Nationalité"	"0 ans"	"1 an"	"2 ans"	"3 ans"	"4 ans"	"5 ans"	"6 ans"	"7 ans"	"8 ans"	"9 ans"	"10 ans"	"11 ans"	"12 ans"	"13 ans"	"14 ans"	"15 ans"	"16 ans"	"17 ans"	"18 ans"	"19 ans"	"20 ans"	"21 ans"	"22 ans"	"23 ans"	"24 ans"	"25 ans"	"26 ans"	"27 ans"	"28 ans"	"29 ans"	"30 ans"	"31 ans"	"32 ans"	"33 ans"	"34 ans"	"35 ans"	"36 ans"	"37 ans"	"38 ans"	"39 ans"	"40 ans"	"41 ans"	"42 ans"	"43 ans"	"44 ans"	"45 ans"	"46 ans"	"47 ans"	"48 ans"	"49 ans"	"50 ans"	"51 ans"	"52 ans"	"53 ans"	"54 ans"	"55 ans"	"56 ans"	"57 ans"	"58 ans"	"59 ans"	"60 ans"	"61 ans"	"62 ans"	"63 ans"	"64 ans"	"65 ans"	"66 ans"	"67 ans"	"68 ans"	"69 ans"	"70 ans"	"71 ans"	"72 ans"	"73 ans"	"74 ans"	"75 ans"	"76 ans"	"77 ans"	"78 ans"	"79 ans"	"80 ans"	"81 ans"	"82 ans"	"83 ans"	"84 ans"	"85 ans"	"86 ans"	"87 ans"	"88 ans"	"89 ans"	"90 ans"	"91 ans"	"92 ans"	"93 ans"	"94 ans"	"95 ans"	"96 ans"	"97 ans"	"98 ans"	"99 ans"	"100 ans ou plus"
"2010"	"Suisse"	"Population résidante permanente"	"Sexe - Total"	"Suisse"	59107	59002	58705	57784	57550	56946	57338	56538	57846	58821	62591	62749	64470	66268	69168	69333	70941	72731	76335	77311	77307	76107	75903	72643	72819	70938	70571	69274	69843	69061	68922	67321	66263	66551	66984	67900	71350	73755	77398	82439	84823	88807	92195	94311	97643	99483	101868	100634	97690	95655	93436	92103	89943	88925	86651	83912	81954	80222	80187	77712	79460	78833	79920	78854	78639	76079	73816	71010	67092	61821	55583	54189	52541	50193	50469	49658	48233	46022	44988	42871	41510	38709	36127	33150	31357	28670	25660	22712	19719	17586	14297	10126	7799	6320	4809	3618	2916	2012	1344	854	1254
"2010"	"Suisse"	"Population résidante permanente"	"Sexe - Total"	"Etranger"	18924	20349	20088	19924	19196	19828	19605	19086	18791	18255	19272	18803	18408	17895	17509	17001	16806	16353	16948	17860	18839	19809	21787	23686	26081	29330	32323	34288	37209	38515	40211	39593	39672	39978	39313	38418	38082	36638	36883	36056	35685	35516	35512	34781	34799	33804	33657	31251	29441	27432	26611	24562	22635	21050	20395	18896	17862	16249	15620	14222	14505	13280	12931	12025	11364	9483	9956	9449	9325	9211	9527	8882	8055	7370	6639	6173	5433	4719	4223	3738	3624	2989	2646	2292	1975	1749	1451	1306	1014	855	748	443	290	220	193	147	155	102	69	51	78
"2011"	"Suisse"	"Population résidante permanente"	"Sexe - Total"	"Suisse"	59094	60103	59532	59191	58117	57994	57436	57727	57008	58352	59259	63157	63541	65370	67168	70052	70254	71815	73650	77143	77837	77660	76329	76063	72768	72891	71076	70771	69532	70158	69416	69353	67834	66806	67201	67618	68606	72082	74434	78142	83118	85525	89475	92794	94904	98209	99986	102346	100992	97970	95940	93629	92265	89963	88914	86578	83777	81825	80001	79990	77377	79120	78447	79438	78268	78012	75362	73174	70279	66396	61137	54877	53463	51699	49290	49440	48509	46959	44716	43530	41243	39782	36877	34090	31120	29042	26305	23226	20283	17428	15148	12043	8405	6310	4993	3738	2686	2102	1416	886	1311
"2011"	"Suisse"	"Population résidante permanente"	"Sexe - Total"	"Etranger"	19332	21560	20664	20331	20171	19435	20014	19731	19262	18904	18391	19390	18658	18058	17699	17213	16682	16486	16728	17871	19013	20126	21441	24082	26283	28938	32334	35472	37006	39626	40760	42105	41131	41087	41125	40364	39292	38883	37205	37264	36524	36133	35740	35750	34977	34839	33835	33651	31264	29415	27349	26518	24438	22486	20855	20102	18677	17566	15933	15247	13723	14038	12805	12527	11610	10755	9104	9641	9213	9073	8972	9288	8674	7864	7186	6442	5983	5246	4550	4032	3558	3419	2801	2473	2121	1816	1578	1299	1149	898	744	630	377	231	177	143	117	117	68	46	90
"2012"	"Suisse"	"Population résidante permanente"	"Sexe - Total"	"Suisse"	59777	59707	60648	59877	59534	58501	58373	57878	58119	57461	58819	59771	63848	64320	66310	68057	70915	71099	72723	74409	77573	78213	77901	76545	76175	72884	72996	71190	70938	69727	70408	69825	69857	68332	67488	67764	68239	69238	72675	75063	78743	83707	86125	90106	93329	95506	98666	100388	102698	101293	98127	96047	93652	92269	89897	88795	86427	83563	81557	79794	79637	77019	78701	77872	78793	77574	77328	74653	72460	69501	65565	60377	54148	52633	50786	48400	48359	47317	45612	43259	41968	39516	37868	34824	31952	28845	26611	23788	20741	17801	14963	12800	9900	6711	4941	3757	2720	1873	1417	908	1327
"2012"	"Suisse"	"Population résidante permanente"	"Sexe - Total"	"Etranger"	19844	21478	21912	21023	20649	20479	19754	20145	19965	19387	19003	18554	19246	18435	17786	17438	16992	16464	16934	17673	18961	20311	21803	23625	26981	29051	32168	35537	38280	39487	41955	42700	43745	42559	42292	42238	41385	40087	39559	37838	37722	37024	36552	36130	36053	35131	35015	33919	33772	31321	29503	27307	26476	24347	22373	20746	19857	18490	17256	15635	14709	13349	13630	12413	12101	11037	10390	8835	9421	8966	8856	8763	9088	8455	7685	6999	6247	5785	5076	4380	3834	3388	3223	2595	2276	1968	1650	1413	1171	1014	754	611	499	315	184	134	105	89	83	44	82
"2013"	"Suisse"	"Population résidante permanente"	"Sexe - Total"	"Suisse"	59624	60459	60163	61092	60224	59967	58885	58796	58362	58586	57895	59342	60427	64729	65163	67102	68935	71760	71862	73446	74877	77958	78487	78204	76807	76418	72995	73193	71361	71227	70118	70901	70351	70439	69032	68155	68575	68946	69978	73379	75825	79427	84357	86807	90765	93896	96025	99154	100853	103089	101642	98322	96170	93759	92286	89806	88696	86286	83276	81291	79504	79237	76573	78277	77317	78041	76925	76690	73906	71716	68703	64754	59570	53274	51724	49844	47428	47187	45991	44230	41744	40247	37638	35746	32638	29685	26365	24164	21254	18233	15317	12602	10579	7848	5201	3736	2740	1962	1284	948	1410
"2013"	"Suisse"	"Population résidante permanente"	"Sexe - Total"	"Etranger"	21785	22391	22074	22249	21549	21204	20895	20188	20539	20319	19767	19361	18650	19235	18357	17773	17417	17040	17603	18296	19131	20460	22155	24297	26585	30130	32529	35623	38673	41058	41924	44191	44590	45421	43767	43548	43389	42466	40863	40272	38533	38394	37629	37084	36490	36359	35607	35291	34084	33896	31413	29640	27485	26534	24222	22285	20681	19601	18215	17011	15183	14362	13010	13249	12002	11520	10644	10166	8631	9187	8749	8645	8570	8861	8222	7488	6798	6060	5584	4918	4203	3652	3232	3042	2411	2108	1793	1459	1240	1038	886	633	501	405	238	142	104	78	64	66	85
"2014"	"Suisse"	"Population résidante permanente"	"Sexe - Total"	"Suisse"	61006	60269	60962	60586	61493	60625	60405	59310	59294	58776	59115	58392	60016	61276	65623	66025	67968	69840	72657	72664	73999	75264	78225	78790	78467	76938	76567	73223	73378	71677	71557	70611	71473	70878	71056	69720	68809	69384	69719	70810	74151	76509	80243	85091	87463	91444	94494	96622	99704	101293	103468	101903	98518	96258	93781	92291	89764	88473	86098	83057	81042	79203	78843	76186	77750	76640	77347	76237	75937	73148	70935	67825	63903	58672	52447	50786	48827	46333	45918	44672	42673	40052	38413	35736	33658	30371	27356	23903	21665	18667	15889	13010	10459	8589	6202	3994	2796	1936	1377	888	1450
"2014"	"Suisse"	"Population résidante permanente"	"Sexe - Total"	"Etranger"	22724	23225	22935	22390	22705	22012	21677	21292	20513	20855	20511	19978	19449	18529	19038	18212	17696	17288	17712	18709	19303	20332	22311	24548	27074	29484	33556	36037	38810	41774	43506	44185	46147	46288	46747	44926	44599	44136	43110	41507	40818	39118	38922	38025	37420	36696	36580	35726	35453	34088	33917	31420	29608	27354	26388	24064	22071	20455	19297	17893	16432	14755	13947	12543	12785	11442	11064	10389	9925	8427	8925	8578	8456	8346	8639	7985	7251	6591	5841	5378	4715	3996	3444	3001	2813	2259	1927	1631	1309	1066	877	762	524	393	331	190	105	80	53	48	93
